"","hhid","cr_surveyed","af_surveyed","sample_purposely","loc_Camp","loc_Host","loc_ITS","gov_Amman","gov_Irbid","gov_Jerash","gov_Mafraq","gov_Zarqa","Azraq","Zaatari","gov_Gaza","cr_female_CLEAN","cr_baseline_age_CLEAN","age_corrected","cr_nationality","af_nationality","af_baseline_role"
"253",114553090,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,13,0,2,2,1
"254",114553137,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,17,0,2,2,1
"255",114553165,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,17,0,2,2,1
"256",114553177,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,2,2,1
"257",114561018,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,NA,2,1
"258",114561029,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,2,2,3
"259",114561038,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,13,0,2,2,2
"260",114561095,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,11,0,2,2,1
"261",114562051,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,12,0,2,2,1
"262",114563052,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,2,2,2
"263",114563104,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,2,2,1
"264",114563135,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,2,2,1
"265",114563142,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,2,2,1
"266",114563182,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,15,0,2,2,1
"267",114564008,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,16,0,2,2,1
"268",114564016,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,17,0,2,2,1
"269",114564089,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,16,0,2,2,1
"270",114565024,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,11,0,2,2,1
"271",114566010,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,16,0,2,2,1
"272",114571003,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,2,2,1
"273",114571012,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,10,0,2,2,1
